concelho,month,year,sum
Alcoutim,5,2018,0.8102999999999999
Alcoutim,5,2019,2.8029
Alcoutim,5,2020,1.41
Alcoutim,5,2021,0.1197
Alcoutim,6,2015,2.7008
Alcoutim,6,2017,0.8113999999999999
Alcoutim,6,2018,0.0399
Alcoutim,6,2019,2.6708
Alcoutim,6,2020,0.0053
Alcoutim,6,2021,0.1329
Alcoutim,7,2015,3.3118
Alcoutim,7,2016,0.48750000000000004
Alcoutim,7,2017,4.739599999999999
Alcoutim,7,2018,0.0062
Alcoutim,7,2019,50.7923931379392
Alcoutim,7,2020,14.091800000000001
Alcoutim,7,2021,13.1849
Alcoutim,8,2015,9.233
Alcoutim,8,2016,1.8917000000000002
Alcoutim,8,2017,49.1512
Alcoutim,8,2018,0.0948
Alcoutim,8,2019,0.013000000000000001
Alcoutim,8,2020,0.6962
Alcoutim,8,2021,19.811899999999998
Alcoutim,9,2015,3.8303
Alcoutim,9,2016,0.5222
Alcoutim,9,2017,0.36750000000000005
Alcoutim,9,2018,1.0464
Alcoutim,9,2019,0.14
Alcoutim,9,2020,0.07914
Alcoutim,9,2021,0.03
Alcoutim,10,2016,0.25
Alcoutim,10,2017,1.7019
Alcoutim,10,2018,0.6654
Alcoutim,10,2020,1.5
Alcoutim,11,2015,0.15
Alcoutim,11,2017,0.0033
Alcoutim,11,2018,0.0991
Alcoutim,11,2019,1.7483
Alcoutim,11,2020,0.0015
Alcoutim,12,2017,0.8100999999999999
Alcoutim,12,2019,0.007
Alcácer do Sal,1,2015,0.001
Alcácer do Sal,2,2018,0.6514
Alcácer do Sal,3,2015,6.686000000000001
Alcácer do Sal,3,2016,0.5
Alcácer do Sal,3,2017,0.0275
Alcácer do Sal,3,2018,0.0694
Alcácer do Sal,3,2019,2.5039
Alcácer do Sal,3,2020,0.6909000000000001
Alcácer do Sal,3,2021,0.0716
Alcácer do Sal,4,2015,0.7755
Alcácer do Sal,4,2016,0.05
Alcácer do Sal,4,2017,0.35359999999999997
Alcácer do Sal,4,2021,0.0206
Alcácer do Sal,5,2015,1.4959
Alcácer do Sal,5,2017,18.8411
Alcácer do Sal,5,2018,1.1376000000000002
Alcácer do Sal,5,2019,1.0617999999999999
Alcácer do Sal,5,2020,0.835
Alcácer do Sal,5,2021,2.9527
Alcácer do Sal,6,2015,26.041900000000002
Alcácer do Sal,6,2016,8.508399999999998
Alcácer do Sal,6,2017,1.7594
Alcácer do Sal,6,2018,0.1369
Alcácer do Sal,6,2019,17.410700000000002
Alcácer do Sal,6,2020,13.679
Alcácer do Sal,6,2021,55.54510000000001
Alcácer do Sal,7,2015,1.44
Alcácer do Sal,7,2016,14.939600000000002
Alcácer do Sal,7,2017,32.1333
Alcácer do Sal,7,2018,0.6051
